"FontName","FontFile"
"Segoe UI Semilight Italic (TrueType)","seguisli.ttf"
"Segoe UI Symbol (TrueType)","seguisym.ttf"
"Segoe UI Variable (TrueType)","SegUIVar.ttf"
"SimSun & NSimSun (TrueType)","simsun.ttc"
"SimSun-ExtB (TrueType)","simsunb.ttf"
"Sitka Text (TrueType)","SitkaVF.ttf"
"Sitka Text Italic (TrueType)","SitkaVF-Italic.ttf"
"Sylfaen (TrueType)","sylfaen.ttf"
"Symbol (TrueType)","symbol.ttf"
"Tahoma (TrueType)","tahoma.ttf"
"Tahoma Bold (TrueType)","tahomabd.ttf"
"Times New Roman (TrueType)","times.ttf"
"Times New Roman Bold (TrueType)","timesbd.ttf"
"Times New Roman Bold Italic (TrueType)","timesbi.ttf"
"Times New Roman Italic (TrueType)","timesi.ttf"
"Trebuchet MS (TrueType)","trebuc.ttf"
"Trebuchet MS Bold (TrueType)","trebucbd.ttf"
"Trebuchet MS Bold Italic (TrueType)","trebucbi.ttf"
"Trebuchet MS Italic (TrueType)","trebucit.ttf"
"Verdana (TrueType)","verdana.ttf"
"Verdana Bold (TrueType)","verdanab.ttf"
"Verdana Bold Italic (TrueType)","verdanaz.ttf"
"Verdana Italic (TrueType)","verdanai.ttf"
"Webdings (TrueType)","webdings.ttf"
"Wingdings (TrueType)","wingding.ttf"
"Yu Gothic Bold & Yu Gothic UI Semibold & Yu Gothic UI Bold (TrueType)","YuGothB.ttc"
"Yu Gothic Light & Yu Gothic UI Light (TrueType)","YuGothL.ttc"
"Yu Gothic Medium & Yu Gothic UI Regular (TrueType)","YuGothM.ttc"
"Yu Gothic Regular & Yu Gothic UI Semilight (TrueType)","YuGothR.ttc"
"Courier 10,12,15","COURE.FON"
"Courier 10,12,15 (120)","COURF.FON"
"MS Serif 8,10,12,14,18,24","SERIFE.FON"
"MS Serif 8,10,12,14,18,24 (120)","SERIFF.FON"
"MS Sans Serif 8,10,12,14,18,24","SSERIFE.FON"
"MS Sans Serif 8,10,12,14,18,24 (120)","SSERIFF.FON"
"Small Fonts","SMALLE.FON"
"Small Fonts (120)","SMALLF.FON"
"SimSun-ExtG (TrueType)","SimsunExtG.ttf"
"Holo MDL2 Assets (TrueType)","holomdl2.ttf"
"Agency FB (TrueType)","AGENCYR.TTF"
"Agency FB Bold (TrueType)","AGENCYB.TTF"
"Algerian (TrueType)","ALGER.TTF"
"Arial Narrow (TrueType)","ARIALN.TTF"
"Arial Narrow Bold (TrueType)","ARIALNB.TTF"
"Arial Narrow Bold Italic (TrueType)","ARIALNBI.TTF"
"Arial Narrow Italic (TrueType)","ARIALNI.TTF"
"Arial Rounded MT Bold (TrueType)","ARLRDBD.TTF"
"Baskerville Old Face (TrueType)","BASKVILL.TTF"
"Bauhaus 93 (TrueType)","BAUHS93.TTF"
"Bell MT (TrueType)","BELL.TTF"
"Bell MT Bold (TrueType)","BELLB.TTF"
"Bell MT Italic (TrueType)","BELLI.TTF"
"Berlin Sans FB (TrueType)","BRLNSR.TTF"
"Berlin Sans FB Bold (TrueType)","BRLNSB.TTF"
"Berlin Sans FB Demi Bold (TrueType)","BRLNSDB.TTF"
"Bernard MT Condensed (TrueType)","BERNHC.TTF"
"Blackadder ITC (TrueType)","ITCBLKAD.TTF"
"Bodoni MT (TrueType)","BOD_R.TTF"
"Bodoni MT Black (TrueType)","BOD_BLAR.TTF"
"Bodoni MT Black Italic (TrueType)","BOD_BLAI.TTF"
"Bodoni MT Bold (TrueType)","BOD_B.TTF"
"Bodoni MT Bold Italic (TrueType)","BOD_BI.TTF"
"Bodoni MT Condensed (TrueType)","BOD_CR.TTF"
